county,county_fips,evacuation_type,cbg_fips
galveston,48167,mandatory,481677230001
galveston,48167,mandatory,481677230002
galveston,48167,mandatory,481677230003
galveston,48167,mandatory,481677231001
galveston,48167,mandatory,481677231002
galveston,48167,mandatory,481677231003
galveston,48167,mandatory,481677232001
galveston,48167,mandatory,481677232002
galveston,48167,mandatory,481677233001
galveston,48167,mandatory,481677233002
galveston,48167,mandatory,481677233003
galveston,48167,mandatory,481677234001
galveston,48167,mandatory,481677234002
galveston,48167,mandatory,481677234003
galveston,48167,mandatory,481677234004
galveston,48167,mandatory,481677235011
galveston,48167,mandatory,481677235012
galveston,48167,mandatory,481677235021
galveston,48167,mandatory,481677235022
galveston,48167,mandatory,481677235023
galveston,48167,mandatory,481677235024
galveston,48167,mandatory,481677236001
galveston,48167,mandatory,481677236002
galveston,48167,mandatory,481677236003
galveston,48167,mandatory,481677237001
galveston,48167,mandatory,481677237002
galveston,48167,mandatory,481677238001
galveston,48167,mandatory,481677238002
galveston,48167,mandatory,481677238003
galveston,48167,mandatory,481677239001
galveston,48167,mandatory,481677239002
galveston,48167,mandatory,481677239003
galveston,48167,mandatory,481677239004
galveston,48167,mandatory,481677240001
galveston,48167,mandatory,481677240002
galveston,48167,mandatory,481677241011
galveston,48167,mandatory,481677241012
galveston,48167,mandatory,481677242001
galveston,48167,mandatory,481677242002
galveston,48167,mandatory,481677242003
galveston,48167,mandatory,481677243001
galveston,48167,mandatory,481677243002
galveston,48167,mandatory,481677243003
galveston,48167,mandatory,481677243004
galveston,48167,mandatory,481677243005
galveston,48167,mandatory,481677244001
galveston,48167,mandatory,481677244002
galveston,48167,mandatory,481677244003
galveston,48167,mandatory,481677244004
galveston,48167,mandatory,481677245001
galveston,48167,mandatory,481677246001
galveston,48167,mandatory,481677246002
galveston,48167,mandatory,481677247001
galveston,48167,mandatory,481677247002
galveston,48167,mandatory,481677248001
galveston,48167,mandatory,481677248002
galveston,48167,mandatory,481677249001
galveston,48167,mandatory,481677249002
galveston,48167,mandatory,481677249003
galveston,48167,mandatory,481677250001
galveston,48167,mandatory,481677250002
galveston,48167,mandatory,481677250003
galveston,48167,mandatory,481677251001
galveston,48167,mandatory,481677251002
galveston,48167,mandatory,481677251003
galveston,48167,mandatory,481677252001
galveston,48167,mandatory,481677252002
galveston,48167,mandatory,481677253001
galveston,48167,mandatory,481677253002
galveston,48167,mandatory,481677254001
galveston,48167,mandatory,481677254002
galveston,48167,mandatory,481677254003
galveston,48167,mandatory,481677254004
galveston,48167,mandatory,481677255001
galveston,48167,mandatory,481677255002
galveston,48167,mandatory,481677256001
galveston,48167,mandatory,481677256002
galveston,48167,mandatory,481677256003
galveston,48167,mandatory,481677256004
galveston,48167,mandatory,481677257001
galveston,48167,mandatory,481677257002
galveston,48167,mandatory,481677258001
galveston,48167,mandatory,481677258002
galveston,48167,mandatory,481677258003
galveston,48167,mandatory,481677259001
galveston,48167,mandatory,481677259002
galveston,48167,mandatory,481677260001
galveston,48167,mandatory,481677260002
galveston,48167,mandatory,481677261001
galveston,48167,mandatory,481677261002
galveston,48167,mandatory,481677262001
galveston,48167,mandatory,481677262002
galveston,48167,mandatory,481679900000
harris,48201,voluntary,482011000001
harris,48201,voluntary,482011000002
harris,48201,voluntary,482011000003
harris,48201,voluntary,482012101001
harris,48201,voluntary,482012104001
harris,48201,voluntary,482012104002
harris,48201,voluntary,482012104003
harris,48201,voluntary,482012104004
harris,48201,voluntary,482012105001
harris,48201,voluntary,482012105002
harris,48201,voluntary,482012105003
harris,48201,voluntary,482012106001
harris,48201,voluntary,482012106002
harris,48201,voluntary,482012106003
harris,48201,voluntary,482012106004
harris,48201,voluntary,482012107001
harris,48201,voluntary,482012107002
harris,48201,voluntary,482012107003
harris,48201,voluntary,482012108001
harris,48201,voluntary,482012108002
harris,48201,voluntary,482012109001
harris,48201,voluntary,482012109002
harris,48201,voluntary,482012110001
harris,48201,voluntary,482012110002
harris,48201,voluntary,482012111001
harris,48201,voluntary,482012111002
harris,48201,voluntary,482012111003
harris,48201,voluntary,482012111004
harris,48201,voluntary,482012111005
harris,48201,voluntary,482012111006
harris,48201,voluntary,482012112001
harris,48201,voluntary,482012112002
harris,48201,voluntary,482012112003
harris,48201,voluntary,482012113001
harris,48201,voluntary,482012113002
harris,48201,voluntary,482012113003
harris,48201,voluntary,482012113004
harris,48201,voluntary,482012113005
harris,48201,voluntary,482012114001
harris,48201,voluntary,482012114002
harris,48201,voluntary,482012114003
harris,48201,voluntary,482012115001
harris,48201,voluntary,482012115002
harris,48201,voluntary,482012115003
harris,48201,voluntary,482012115004
harris,48201,voluntary,482012115005
harris,48201,voluntary,482012116001
harris,48201,voluntary,482012116002
harris,48201,voluntary,482012117001
harris,48201,voluntary,482012117002
harris,48201,voluntary,482012117003
harris,48201,voluntary,482012119001
harris,48201,voluntary,482012119002
harris,48201,voluntary,482012119003
harris,48201,voluntary,482012119004
harris,48201,voluntary,482012123001
harris,48201,voluntary,482012123002
harris,48201,voluntary,482012123003
harris,48201,voluntary,482012123004
harris,48201,voluntary,482012123005
harris,48201,voluntary,482012124001
harris,48201,voluntary,482012124002
harris,48201,voluntary,482012124003
harris,48201,voluntary,482012125001
harris,48201,voluntary,482012125002
harris,48201,voluntary,482012125003
harris,48201,voluntary,482012201001
harris,48201,voluntary,482012201002
harris,48201,voluntary,482012202001
harris,48201,voluntary,482012202002
harris,48201,voluntary,482012203001
harris,48201,voluntary,482012203002
harris,48201,voluntary,482012203003
harris,48201,voluntary,482012204001
harris,48201,voluntary,482012204002
harris,48201,voluntary,482012204003
harris,48201,voluntary,482012205001
harris,48201,voluntary,482012205002
harris,48201,voluntary,482012205003
harris,48201,voluntary,482012206001
harris,48201,voluntary,482012206002
harris,48201,voluntary,482012207001
harris,48201,voluntary,482012207002
harris,48201,voluntary,482012207003
harris,48201,voluntary,482012207004
harris,48201,voluntary,482012207005
harris,48201,voluntary,482012208001
harris,48201,voluntary,482012208002
harris,48201,voluntary,482012209001
harris,48201,voluntary,482012209002
harris,48201,voluntary,482012210001
harris,48201,voluntary,482012210002
harris,48201,voluntary,482012211001
harris,48201,voluntary,482012211002
harris,48201,voluntary,482012211003
harris,48201,voluntary,482012212001
harris,48201,voluntary,482012212002
harris,48201,voluntary,482012212003
harris,48201,voluntary,482012213001
harris,48201,voluntary,482012213002
harris,48201,voluntary,482012213003
harris,48201,voluntary,482012213004
harris,48201,voluntary,482012213005
harris,48201,voluntary,482012214001
harris,48201,voluntary,482012214002
harris,48201,voluntary,482012214003
harris,48201,voluntary,482012215001
harris,48201,voluntary,482012215002
harris,48201,voluntary,482012215003
harris,48201,voluntary,482012216001
harris,48201,voluntary,482012216002
harris,48201,voluntary,482012216003
harris,48201,voluntary,482012216004
harris,48201,voluntary,482012216005
harris,48201,voluntary,482012217001
harris,48201,voluntary,482012217002
harris,48201,voluntary,482012217003
harris,48201,voluntary,482012217004
harris,48201,voluntary,482012218001
harris,48201,voluntary,482012218002
harris,48201,voluntary,482012219001
harris,48201,voluntary,482012219002
harris,48201,voluntary,482012219003
harris,48201,voluntary,482012220001
harris,48201,voluntary,482012221001
harris,48201,voluntary,482012221002
harris,48201,voluntary,482012222001
harris,48201,voluntary,482012222002
harris,48201,voluntary,482012223001
harris,48201,voluntary,482012223002
harris,48201,voluntary,482012223003
harris,48201,voluntary,482012224011
harris,48201,voluntary,482012224012
harris,48201,voluntary,482012224021
harris,48201,voluntary,482012224022
harris,48201,voluntary,482012224023
harris,48201,voluntary,482012225011
harris,48201,voluntary,482012225012
harris,48201,voluntary,482012225021
harris,48201,voluntary,482012225022
harris,48201,voluntary,482012225031
harris,48201,voluntary,482012225032
harris,48201,voluntary,482012225033
harris,48201,voluntary,482012226001
harris,48201,voluntary,482012226002
harris,48201,voluntary,482012227001
harris,48201,voluntary,482012227002
harris,48201,voluntary,482012228001
harris,48201,voluntary,482012228002
harris,48201,voluntary,482012229001
harris,48201,voluntary,482012229002
harris,48201,voluntary,482012229003
harris,48201,voluntary,482012229004
harris,48201,voluntary,482012230011
harris,48201,voluntary,482012230012
harris,48201,voluntary,482012230021
harris,48201,voluntary,482012230022
harris,48201,voluntary,482012231001
harris,48201,voluntary,482012301001
harris,48201,voluntary,482012302001
harris,48201,voluntary,482012302002
harris,48201,voluntary,482012302003
harris,48201,voluntary,482012302004
harris,48201,voluntary,482012302005
harris,48201,voluntary,482012303001
harris,48201,voluntary,482012303002
harris,48201,voluntary,482012304001
harris,48201,voluntary,482012304002
harris,48201,voluntary,482012304003
harris,48201,voluntary,482012305001
harris,48201,voluntary,482012305002
harris,48201,voluntary,482012305003
harris,48201,voluntary,482012306001
harris,48201,voluntary,482012306002
harris,48201,voluntary,482012307001
harris,48201,voluntary,482012307002
harris,48201,voluntary,482012307003
harris,48201,voluntary,482012308001
harris,48201,voluntary,482012308002
harris,48201,voluntary,482012309001
harris,48201,voluntary,482012309002
harris,48201,voluntary,482012309003
harris,48201,voluntary,482012309004
harris,48201,voluntary,482012310001
harris,48201,voluntary,482012310002
harris,48201,voluntary,482012311001
harris,48201,voluntary,482012311002
harris,48201,voluntary,482012311003
harris,48201,voluntary,482012312001
harris,48201,voluntary,482012312002
harris,48201,voluntary,482012312003
harris,48201,voluntary,482012313001
harris,48201,voluntary,482012313002
harris,48201,voluntary,482012314001
harris,48201,voluntary,482012315001
harris,48201,voluntary,482012315002
harris,48201,voluntary,482012316001
harris,48201,voluntary,482012316002
harris,48201,voluntary,482012317001
harris,48201,voluntary,482012317002
harris,48201,voluntary,482012318001
harris,48201,voluntary,482012318002
harris,48201,voluntary,482012319001
harris,48201,voluntary,482012319002
harris,48201,voluntary,482012319003
harris,48201,voluntary,482012319004
harris,48201,voluntary,482012320001
harris,48201,voluntary,482012320002
harris,48201,voluntary,482012321001
harris,48201,voluntary,482012321002
harris,48201,voluntary,482012322001
harris,48201,voluntary,482012322002
harris,48201,voluntary,482012322003
harris,48201,voluntary,482012322004
harris,48201,voluntary,482012323011
harris,48201,voluntary,482012323012
harris,48201,voluntary,482012323013
harris,48201,voluntary,482012323021
harris,48201,voluntary,482012323022
harris,48201,voluntary,482012323023
harris,48201,voluntary,482012324011
harris,48201,voluntary,482012324012
harris,48201,voluntary,482012324013
harris,48201,voluntary,482012324014
harris,48201,voluntary,482012324021
harris,48201,voluntary,482012324022
harris,48201,voluntary,482012324031
harris,48201,voluntary,482012324032
